City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Tacotalpa,MX,2021-10-09 01:21:14,17.6,-92.8167,80.49,94,60,1.19
180,Rio Grande,BR,2021-10-09 01:21:14,-32.035,-52.0986,60.94,71,100,13.13
181,San Policarpo,PH,2021-10-09 01:21:15,12.1791,125.5072,74.64,94,100,18.9
182,Hirara,JP,2021-10-09 01:21:15,24.8,125.2833,84.47,74,40,14.97
183,Tasiilaq,GL,2021-10-09 01:21:15,65.6145,-37.6368,35.76,79,100,8.08
184,Cassilandia,BR,2021-10-09 01:21:16,-19.1133,-51.7342,81.93,50,79,2.93
185,Kamaishi,JP,2021-10-09 01:20:54,39.2667,141.8833,68.95,73,88,7.23
186,Vestmannaeyjar,IS,2021-10-09 01:21:16,63.4427,-20.2734,48.83,87,1,16.08
187,Naze,JP,2021-10-09 01:21:17,28.3667,129.4833,81.52,83,37,18.88
188,Pemangkat,ID,2021-10-09 01:21:17,1.1667,108.9667,82.81,74,17,8.14
189,Khandyga,RU,2021-10-09 01:21:17,62.6667,135.6,29.61,71,86,4.72
190,Ewa Beach,US,2021-10-09 01:20:32,21.3156,-158.0072,84.15,50,40,21.0
191,Mananara,MG,2021-10-09 01:21:18,-16.1667,49.7667,69.21,84,100,6.22
192,Mangualde,PT,2021-10-09 01:21:18,40.6043,-7.7612,57.85,58,100,1.48
193,Licata,IT,2021-10-09 01:21:18,37.1071,13.9461,63.07,75,0,9.35
194,Hay River,CA,2021-10-09 01:18:58,60.8156,-115.7999,46.38,57,75,5.75
195,Vallenar,CL,2021-10-09 01:21:19,-28.5708,-70.7581,55.27,58,0,2.28
196,Asau,RO,2021-10-09 01:21:19,46.4333,26.4,43.72,61,100,5.37
197,Saint-Leu,RE,2021-10-09 01:21:19,-21.15,55.2833,68.86,74,10,9.89
198,Lompoc,US,2021-10-09 01:20:55,34.6391,-120.4579,67.08,68,1,8.01
199,Cherskiy,RU,2021-10-09 01:21:20,68.75,161.3,10.56,90,53,3.31
200,Dwarka,IN,2021-10-09 01:21:20,22.2394,68.9678,83.34,77,99,4.88
