City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
117,Ponta Do Sol,PT,32.6667,-17.1,76.71,66,17,3.36,few clouds,0.0,0.0
118,Lata,PT,40.1629,-8.3327,74.05,65,83,3.69,broken clouds,0.0,0.0
119,Rovaniemi,FI,66.5,25.7167,45.81,93,90,10.36,overcast clouds,0.0,0.0
120,Pevek,RU,69.7008,170.3133,23.94,93,100,2.98,overcast clouds,0.0,0.0
121,Saint-Pierre,RE,-21.3393,55.4781,71.28,76,75,12.66,broken clouds,0.0,0.0
122,Yashkul,RU,46.1711,45.3435,50.76,38,99,7.9,overcast clouds,0.0,0.0
123,Puerto Ayora,EC,-0.7393,-90.3518,78.76,81,95,11.36,overcast clouds,0.0,0.0
124,Yulara,AU,-25.2406,130.9889,66.04,63,75,11.5,broken clouds,0.0,0.0
125,Rawson,AR,-43.3002,-65.1023,72.18,28,0,5.73,clear sky,0.0,0.0
126,Vila Velha,BR,-20.3297,-40.2925,69.75,78,75,4.61,broken clouds,0.0,0.0
127,Khandyga,RU,62.6667,135.6,31.24,98,100,5.01,light snow,0.0,0.33
128,Carlos Chagas,BR,-17.7031,-40.7664,77.65,60,100,6.46,overcast clouds,0.0,0.0
129,Upernavik,GL,72.7868,-56.1549,29.55,52,100,8.16,overcast clouds,0.0,0.0
130,Nizwa,OM,22.9333,57.5333,89.02,25,0,3.58,clear sky,0.0,0.0
131,Terrace,CA,54.5163,-128.6035,48.11,100,90,3.44,mist,0.0,0.0
132,Bograd,RU,54.2344,90.8328,44.35,63,98,12.06,overcast clouds,0.0,0.0
133,Chokurdakh,RU,70.6333,147.9167,0.34,100,96,4.7,overcast clouds,0.0,0.0
134,Nyurba,RU,63.2842,118.3319,35.2,96,100,12.77,light rain,0.27,0.0
135,Sorata,BO,-15.7667,-68.6333,55.45,74,97,10.85,overcast clouds,0.0,0.0
136,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,86,0,4.47,clear sky,0.0,0.0
137,Torbay,CA,47.6666,-52.7314,47.57,82,75,34.52,light intensity shower rain,0.14,0.0
138,Olafsvik,IS,64.8945,-23.7142,42.24,85,93,21.63,overcast clouds,0.0,0.0
139,Saskylakh,RU,71.9167,114.0833,9.72,99,100,2.86,overcast clouds,0.0,0.0
140,Irbeyskoye,RU,55.6428,95.4522,45.59,61,78,21.27,broken clouds,0.0,0.0
141,Nalut,LY,30.3333,10.85,77.41,32,3,9.44,clear sky,0.0,0.0
142,Zavetnoye,RU,47.1194,43.8903,48.0,33,100,9.13,light rain,0.12,0.0
143,Zastron,ZA,-30.3023,27.084,54.84,38,20,18.12,few clouds,0.0,0.0
144,Pisco,PE,-13.7,-76.2167,68.02,72,20,10.36,few clouds,0.0,0.0
145,Pangnirtung,CA,66.1451,-65.7125,35.6,93,90,3.44,overcast clouds,0.0,0.0
